Item,Image,Cost,Role,Type,Tier,Physical Power,Magical Power,Physical Penetration,Magical Penetration,Critical Chance,Attack Speed,Lifesteal,Magical Lifesteal,Omnivamp,Physical Armor,Magical Armor,Tenacity,Max Health,Max Mana,Health Regeneration,Mana Regeneration,Heal & Shield Power,Ability Haste,Movement Speed,Gold Per Second,Ability 1,Ability 2,Ability 3,No Condition,Ability Hits on Heroes,After Level 6,After taking damage,Against Eroded Heroes,Against Heroes below 40% Health,Against Minions,Based on Critical Strike Chance,Based on Enemy Bonus Armor,Buff yourself and nearby Heroes to,Burn nearby Enemy Units,Damage Heroes from afar with Abilities,Damaging Abilities and Basic Attacks,Enhance your Ultimate Ability,Every 8s,For each Level,For every 10% Missing Health,"Gain Effects, based on your location",On Ability Cast,On Ability Hits to Heroes or Monsters and Killing Units,On Basic Attacking Heroes,On Basic Attacks,On Dashing or Leaping,"On Dashing, Leaping or exiting Camo",On Dealing Magical Damage,On Dealing Physical Damage,On Healing or Shielding Heroes,On Healing or Shielding an Ally,On Immobilizing Heroes,On Immobilizing an Enemy,On Killing Monsters,On Killing Units,On Killing an Enemy Unit,On Melee Heroes only,On Overhealing from Lifesteal,On Ranged Basic Attack,On Successful Basic Attacks,On Successful Basic Attacks to Heroes or Monsters and Killing Units,On Takedown,On any damage instance towards an Enemy,On being Immobilized,On being hit by a Basic Attack,On casting your Ultimate,On crossing a Fog Wall,On damaging Heroes or Monsters and Unit Kills,On damaging Monsters,On damaging a Hero,On damaging a Hero below 40% Health,On damaging a Shielded Target,On dealing Ability Damage,On dealing Ability Damage to Heroes or Monsters and Unit Kills,On dealing Ability Damage to a Blighted Target,On dealing Ability Damage to a Blighted Unit,On dealing Ability Damage to a Hero,On dealing Magical Damage to a Hero,On dealing Physical Damage,On dealing damage,On dealing damage to Heroes,On dealing damage to Heroes or Monsters,On dealing damage to a Marked Hero,On going below 40% Health,On standing still and unharmed for 2s,On taking Magical Damage,On taking Magical Damage from a Hero,On taking a Hero below 5% Health,On using Sacrificial Strike on a Hero,Once every second,Upon Critically Striking,Upon Executing 25 Minions,Upon damaging an Eroded Hero,Upon triggering Arcane Salvo,When Heatwave Damages a Target,When at 4 stacks of Cyclone,When dealing or receiving damage,When hit by Basic Attacks,While Camouflaged,While Veil is active,While Vital Shield is ready,While below 40% Health,While moving,While moving or casting Abilities,While moving or landing Basic Attacks,While near Enemy Heroes,While near an Ally Hero,While out of combat,While within 475u of an Enemy Unit
Razorback,/images/items/Razorback.webp,0,Tank,Reflect Damage,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Echidna - 90s CD: ‚ Gain 25% Physical Armor and Magical Armor for 5s.‚ Reflect 12% of Pre-Mitigated Damage received from Heroes as Damage.,0,0,Echidna - 90s CD: ‚ Gain 25% Physical Armor and Magical Armor for 5s.‚ Reflect 12% of Pre-Mitigated Damage received from Heroes as Damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyr Warboots,/images/items/Nyr_Warboots.webp,0,Tank,Mobility,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Resilience - 75s CD: • Gain 50% Decaying Movement Speed for 5s.• Regenerate 3% of your Max Health every second for 5s.,0,0,Resilience - 75s CD: • Gain 50% Decaying Movement Speed for 5s.• Regenerate 3% of your Max Health every second for 5s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goliath Crest,/images/items/Goliath-Crest.webp,0,Tank,Tank,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Legendary Titan - After taking damage: • Heal (+1% Max Health) over 10s.• After restoring 280 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,Legendary Titan - After taking damage: • Heal (+1% Max Health) over 10s.• After restoring 280 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warden Crest,/images/items/Warden-Crest.webp,0,Support,Support,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,30.0,0.0,0.0,0.0,0.0,0.35,Legendary Guardian - On any damage instance towards an Enemy: • Restore 30 Health and gain 15 Gold.• Charges generate every 30s and require a nearby Allied Hero to activate.• Holds 3 Charges.• After gaining 150 Gold:• Enter Base to Evolve into a Legendary Crest.,Pacifist: • Receive diminishing Gold from Minion kills.,0,Pacifist: • Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Guardian - On any damage instance towards an Enemy: • Restore 30 Health and gain 15 Gold.• Charges generate every 30s and require a nearby Allied Hero to activate.• Holds 3 Charges.• After gaining 150 Gold:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tranquility,/images/items/Thread-of-Mortality.webp,0,Support,Healing,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,1.5,Grace - 40s CD: ‚ Heal yourself and nearby Heroes by 150 (+50% Magical Power).‚ Also grant 10% Damage Mitigation for 2s.,Visionary: ‚ Gain Solstone.‚ Increase Ward Cap from 2 to 3.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silentium,/images/items/Silentium.webp,0,Support,Disruption,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,1.5,Muzzle - 120s CD: ‚ Silence a Hero for 1.5s.‚ Deals 150 (+50% Magical Power) Damage.,Visionary: ‚ Gain Solstone.‚ Increase Ward Cap from 2 to 3.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanctification,/images/items/Sanctification.webp,0,Support,Shielding,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,50.0,0.0,0.0,0.0,0.0,1.5,"Safeguard - 120s CD: ‚ Grants yourself and nearby Heroes a 180 (+8% Max Health) Shield for 3s.‚ While the Shield holds, Heroes gain 60% Tenacity.",Visionary: ‚ Gain Solstone.‚ Increase Ward Cap from 2 to 3.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rift Walkers,/images/items/Rift-Walkers.webp,0,Support,Engage,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,50.0,0.0,0.0,0.0,0.0,1.5,Rift Snatcher - 120s CD: • Dash forward a short distance.• Pull nearby Heroes towards you.,Visionary: • Gain Solstone.• Increase Ward Cap from 2 to 3.,Pacifist: • Receive diminishing Gold from Minion kills.,Pacifist: • Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reclamation,/images/items/Malediction.webp,0,Support,Cleanse,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,1.5,Purify - 180s CD: ‚ Cleanse yourself and nearby Allies.,Visionary: ‚ Gain Solstone.‚ Increase Ward Cap from 2 to 3.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,Pacifist: ‚ Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leafsong,/images/items/Leafsong.webp,0,Support,Mobility,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,50.0,0.0,0.0,0.0,0.0,1.5,Phantom Rush - 100s CD: • Increase the Movement Speed of nearby Allies by 30% for 4s.• They are also immune to Slows and can pass through Heroes for 4s.,Visionary: • Gain Solstone.• Increase Ward Cap from 2 to 3.,Pacifist: • Receive diminishing Gold from Minion kills.,Pacifist: • Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper Crest,/images/items/Keeper-Crest.webp,0,Support,Support,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,35.0,0.0,0.0,0.0,0.35,Legendary Consort - On any damage instance towards an Enemy: • Deal 15 Damage and gain 15 Gold.• Charges generate every 30s and require a nearby Allied Hero to activate.• Holds 3 Charges.• After gaining 150 Gold:• Enter Base to Evolve into a Legendary Crest.,Pacifist: • Receive diminishing Gold from Minion kills.,0,Pacifist: • Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Consort - On any damage instance towards an Enemy: • Deal 15 Damage and gain 15 Gold.• Charges generate every 30s and require a nearby Allied Hero to activate.• Holds 3 Charges.• After gaining 150 Gold:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardian Crest,/images/items/Guardian-Crest.webp,0,Support,Support,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.25,"Guardian - On any damage instance towards an Enemy:  Restore 20 Health and gain 15 Gold. Charges generate every 30s and require a nearby Allied Hero to activate. Holds 3 Charges. After gaining 150 Gold, Evolves into Keeper Crest.",Pacifist:  Receive diminishing Gold from Minion kills.,0,Pacifist:  Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Guardian - On any damage instance towards an Enemy:  Restore 20 Health and gain 15 Gold. Charges generate every 30s and require a nearby Allied Hero to activate. Holds 3 Charges. After gaining 150 Gold, Evolves into Keeper Crest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consort Crest,/images/items/Consort-Crest.webp,0,Support,Support,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,25.0,0.0,0.0,0.0,0.25,"Consort - On any damage instance towards an Enemy:  Deal 10 Damage and gain 15 Gold. Charges generate every 30s and require a nearby Allied Hero to activate. Holds 3 Charges. After gaining 150 Gold, Evolves into Keeper Crest.",Pacifist:  Receive diminishing Gold from Minion kills.,0,Pacifist:  Receive diminishing Gold from Minion kills.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Consort - On any damage instance towards an Enemy:  Deal 10 Damage and gain 15 Gold. Charges generate every 30s and require a nearby Allied Hero to activate. Holds 3 Charges. After gaining 150 Gold, Evolves into Keeper Crest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wizard Crest,/images/items/Wizard-Crest.webp,0,Mage,Mage,Crest,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,6.0,0.0,0.0,Legendary Magician - On Ability Hits to Heroes or Monsters and Killing Units:  Restore 4 Mana (5 for Kills). After restoring 300 Mana: Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Magician - On Ability Hits to Heroes or Monsters and Killing Units:  Restore 4 Mana (5 for Kills). After restoring 300 Mana: Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
